Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
0 FRACTURE_2_S 11 1.62716 1.77205 0.5 2.71137e+009 2.85612e+006 -3.95313e+006 3.44605e+008 -0.147027 0.113368
0 FRACTURE_2_S 12 1.77205 1.62716 0.5 2.71653e+009 285510 4.07898e+006 3.45919e+008 -0.0146897 -0.116858
0 FRACTURE_2_S 13 1.88339 1.45765 0.5 2.68647e+009 -8.3527e+006 -1.38075e+006 3.38307e+008 0.433041 0.0399358
0 FRACTURE_2_S 14 1.95655 1.27503 0.5 2.70401e+009 2.65114e+007 -8.1487e+006 3.42775e+008 -1.3487 0.231791
0 FRACTURE_2_S 15 1.99165 1.09098 0.5 2.68629e+009 -7.56511e+006 -2.32636e+006 3.38261e+008 0.392269 0.0672766
0 FRACTURE_2_S 16 1.99165 0.909018 0.5 2.69534e+009 2.293e+007 1.7989e+006 3.40565e+008 -1.17522 -0.0515703
0 FRACTURE_2_S 17 1.95655 0.724971 0.5 2.72652e+009 -1.93447e+007 4.06134e+006 3.48484e+008 0.981385 -0.115126
0 FRACTURE_2_S 18 1.88339 0.542348 0.5 2.732e+009 -2.31908e+007 9.89947e+006 3.49905e+008 1.16925 -0.278829
0 FRACTURE_2_S 19 1.77205 0.372842 0.5 2.79274e+009 -3.95746e+006 1.40456e+007 3.65622e+008 0.196978 -0.388951
0 FRACTURE_2_S 20 1.62716 0.227949 0.5 2.83033e+009 -1.44519e+007 1.92022e+007 3.75561e+008 0.70467 -0.521484
0 FRACTURE_2_S 21 1.45765 0.116608 0.5 2.85883e+009 2.58912e+007 6.78283e+007 3.83711e+008 -1.22229 -1.77446
0 FRACTURE_2_S 22 1.27503 0.0434532 0.5 2.865e+009 -1.429e+006 1.70879e+008 3.88412e+008 0.065852 -4.28382
0 FRACTURE_2_S 23 1.09098 0.00834732 0.5 2.7558e+009 -8.5081e+007 3.4156e+008 3.70912e+008 3.6928 -7.99132
0 FRACTURE_2_S 24 0.909018 0.00834732 0.5 2.41862e+009 -2.55196e+008 4.77577e+008 3.05768e+008 10.878 -11.0626
0 FRACTURE_2_S 25 0.724971 0.0434532 0.5 2.02108e+009 -4.15817e+008 4.51433e+008 2.25053e+008 18.7042 -11.3849
0 FRACTURE_2_S 26 0.542348 0.116608 0.5 1.73341e+009 -5.77764e+008 2.93217e+008 1.6724e+008 27.613 -8.36339
0 FRACTURE_2_S 27 0.372842 0.227949 0.5 1.5701e+009 -6.35432e+008 9.91042e+007 1.35711e+008 33.2792 -3.29314
0 FRACTURE_2_S 28 0.227949 0.372842 0.5 1.58436e+009 -6.31677e+008 -9.64736e+007 1.37533e+008 33.0189 3.19658
0 FRACTURE_2_S 29 0.116608 0.542348 0.5 1.74011e+009 -5.77086e+008 -2.93322e+008 1.68302e+008 27.5279 8.34758
0 FRACTURE_2_S 30 0.0434532 0.724971 0.5 2.02442e+009 -4.21758e+008 -4.55164e+008 2.26342e+008 18.8721 11.4245
0 FRACTURE_2_S 31 0.00834732 0.909018 0.5 2.43914e+009 -2.46539e+008 -4.78607e+008 3.10361e+008 10.4829 11.0427
0 FRACTURE_3_S 0 -1.99165 -0.909018 -0.5 2.69261e+009 1.72992e+007 -1.34041e+006 3.39866e+008 -0.890424 0.0385542
0 FRACTURE_3_S 1 -1.95655 -0.724971 -0.5 2.72287e+009 -1.88396e+007 -1.14247e+007 3.47565e+008 0.954737 0.32311
0 FRACTURE_3_S 2 -1.88339 -0.542348 -0.5 2.75028e+009 -1.42917e+007 4.56294e+006 3.54578e+008 0.720684 -0.128437
0 FRACTURE_3_S 3 -1.77205 -0.372842 -0.5 2.80456e+009 -2.95812e+006 -1.30117e+007 3.68719e+008 0.146752 0.359129
0 FRACTURE_3_S 4 -1.62716 -0.227949 -0.5 2.81833e+009 -1.05447e+007 -2.68955e+007 3.72423e+008 0.515982 0.731671
0 FRACTURE_3_S 5 -1.45765 -0.116608 -0.5 2.8576e+009 3.1292e+007 -6.36815e+007 3.83329e+008 -1.47588 1.66696
0 FRACTURE_3_S 6 -1.27503 -0.0434532 -0.5 2.89752e+009 -1.78831e+007 -1.58482e+008 3.967e+008 0.812116 3.93377
