
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
600 FRACTURE13_S 2 230.805 -70.8161 68.3849 -1388.28 463.402 -773.171 2.79781e-005 -42.6341 35.8687
600 FRACTURE13_S 3 233.46 -75.0786 70.5452 -1508.79 1052.29 -596.143 3.16072e-005 -60.845 23.8922
600 FRACTURE13_S 4 235.188 -77.8531 74.9268 -2023.75 1629.09 -195.173 4.21396e-005 -69.1988 7.96728
600 FRACTURE13_S 5 235.526 -78.3963 80.3558 -2623.44 1924.78 512.368 6.74734e-005 -66.9062 -14.9396
600 FRACTURE13_S 6 234.384 -76.5627 85.3775 -3206.08 1597.61 1438.62 0.000124513 -54.2847 -29.5492
600 FRACTURE13_S 7 232.068 -72.8434 88.6462 -3546.63 711.697 2064.38 0.000183797 -31.2908 -39.7547
600 FRACTURE13_S 8 229.197 -68.2352 89.2862 -3524.31 -658.064 2102.25 0.000189194 29.3978 -40.2636
600 FRACTURE13_S 9 226.543 -63.9727 87.1259 -3307.69 -1725.36 1469.88 0.000134757 55.1866 -28.8982
600 FRACTURE13_S 10 224.814 -61.1982 82.7443 -2892.77 -2069.23 509.806 7.61838e-005 67.2648 -14.129
600 FRACTURE13_S 11 224.476 -60.655 77.3153 -2278.71 -1737.77 -359.81 5.15074e-005 67.9403 12.4088
600 FRACTURE14_S 0 -216.657 -117.86 80.6381 -2589.75 2254.16 -896.765 0.00011089 -64.33 19.5261
600 FRACTURE14_S 1 -215.09 -119.843 84.8753 -2969.96 2761.12 48.7864 0.00011663 -69.9789 -1.34431
600 FRACTURE14_S 2 -215.047 -119.897 89.8082 -3448.85 2744.52 1229.02 0.000177535 -63.3033 -20.9684
600 FRACTURE14_S 3 -216.539 -118.009 94.115 -3787.86 1844.98 2333.65 0.000277009 -48.1676 -33.2684
600 FRACTURE14_S 4 -219.165 -114.685 96.6418 -3964.74 280.402 2882.3 0.000344402 -11.862 -43.6767
600 FRACTURE14_S 5 -222.223 -110.814 96.7115 -3994.18 -1473.45 2605.06 0.000313538 41.4418 -36.3577
600 FRACTURE14_S 6 -224.893 -107.435 94.3054 -3770.35 -2713.53 1608.29 0.000219406 60.3062 -24.4564
600 FRACTURE14_S 7 -226.46 -105.452 90.0682 -3459.55 -3071.9 214.591 0.000146143 69.7016 -4.9523
600 FRACTURE14_S 8 -226.503 -105.397 85.1354 -2981.66 -2520.48 -992.376 0.000137789 64.4136 19.4013
600 FRACTURE14_S 9 -225.011 -107.285 80.8285 -2632.83 -1309.77 -1687.65 0.000143883 47.8095 33.4554
600 FRACTURE14_S 10 -222.384 -110.61 78.3017 -2499.76 35.2518 -1824.59 0.000137551 -2.62844 44.7607
600 FRACTURE14_S 11 -219.326 -114.48 78.232 -2480.55 1310.54 -1533.69 0.000123425 -49.6463 32.4645
600 FRACTURE15_S 0 -139.916 -137.934 133.164 -7750.87 -9116.33 -6244.29 0.0028811 58.4323 26.2547
600 FRACTURE15_S 1 -141.47 -135.556 136.253 -8133.63 -3832.59 -8572.18 0.00326018 36.5725 38.1424
600 FRACTURE15_S 2 -141.971 -134.79 140.347 -9065.68 2259.58 -8550.57 0.00309841 -26.205 41.0499
600 FRACTURE15_S 3 -141.284 -135.84 144.351 -9810.93 7193.03 -6316.9 0.00243931 -54.6962 29.2562
600 FRACTURE15_S 4 -139.595 -138.426 147.19 -10064.5 10264.1 -2810.19 0.00193658 -66.7661 15.2407
600 FRACTURE15_S 5 -137.355 -141.853 148.106 -9979.35 11224.3 1595.32 0.00203084 -68.916 -9.19556
