Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
0 FRACTURE_1_S 0 -0.991653 0.0909815 0 2.66819e+009 3.52589e+007 -2.92134e+007 3.33879e+008 -1.79473 0.830084
0 FRACTURE_1_S 1 -0.956547 0.275029 0 2.63452e+009 4.314e+007 -3.40438e+007 3.25578e+008 -2.20952 0.974041
0 FRACTURE_1_S 2 -0.883392 0.457652 0 2.65991e+009 4.22832e+007 -4.45836e+007 3.31978e+008 -2.13854 1.25734
0 FRACTURE_1_S 3 -0.772051 0.627158 0 2.66601e+009 4.66162e+007 -6.6621e+007 3.33825e+008 -2.32852 1.85077
0 FRACTURE_1_S 4 -0.627158 0.772051 0 2.63582e+009 3.34276e+007 -1.00744e+008 3.26987e+008 -1.67929 2.7932
0 FRACTURE_1_S 5 -0.457652 0.883392 0 2.60564e+009 2.64741e+007 -1.39015e+008 3.20699e+008 -1.33111 3.82987
0 FRACTURE_1_S 6 -0.275029 0.956547 0 2.53964e+009 -2.5901e+006 -1.91045e+008 3.06895e+008 0.132604 5.29067
0 FRACTURE_1_S 7 -0.0909815 0.991653 0 2.47796e+009 -5.22422e+007 -2.36626e+008 2.94952e+008 2.61847 6.42939
0 FRACTURE_1_S 8 0.0909815 0.991653 0 2.33873e+009 -1.32602e+008 -2.64181e+008 2.65939e+008 6.62193 7.22503
0 FRACTURE_1_S 9 0.275029 0.956547 0 2.19147e+009 -2.29879e+008 -2.49746e+008 2.35394e+008 11.5302 7.00447
0 FRACTURE_1_S 10 0.457652 0.883392 0 2.0803e+009 -3.17151e+008 -1.80074e+008 2.11626e+008 16.1665 5.28827
0 FRACTURE_1_S 11 0.627158 0.772051 0 2.01472e+009 -3.62335e+008 -6.01951e+007 1.96878e+008 19.266 1.90631
0 FRACTURE_1_S 12 0.772051 0.627158 0 2.01518e+009 -3.69731e+008 6.37068e+007 1.97272e+008 19.5434 -2.00702
0 FRACTURE_1_S 13 0.883392 0.457652 0 2.07675e+009 -3.17102e+008 1.79852e+008 2.10924e+008 16.1865 -5.28954
0 FRACTURE_1_S 14 0.956547 0.275029 0 2.19159e+009 -2.30065e+008 2.49241e+008 2.3539e+008 11.5399 -6.99139
0 FRACTURE_1_S 15 0.991653 0.0909815 0 2.38659e+009 -1.35869e+008 2.63843e+008 2.76558e+008 6.66038 -7.09013
