
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
0 FRACTURE_2_S 12 1.77205 1.62716 1 2.64259e+009 -3.42776e+007 -8.51333e+006 3.27406e+008 1.77563 0.246948
0 FRACTURE_2_S 13 1.88339 1.45765 1 2.61098e+009 -2.64132e+007 1.48183e+007 3.19617e+008 1.38731 -0.434766
0 FRACTURE_2_S 14 1.95655 1.27503 1 2.61036e+009 -2.19025e+007 1.64246e+007 3.19461e+008 1.1529 -0.482413
0 FRACTURE_2_S 15 1.99165 1.09098 1 2.62212e+009 -1.04276e+007 2.57075e+007 3.22378e+008 0.548102 -0.751237
0 FRACTURE_2_S 16 1.99165 0.909018 1 2.6294e+009 2.91502e+007 2.20484e+007 3.24182e+008 -1.51415 -0.639332
0 FRACTURE_2_S 17 1.95655 0.724971 1 2.64153e+009 6.32323e+007 3.53172e+007 3.27423e+008 -3.19348 -0.999869
0 FRACTURE_2_S 18 1.88339 0.542348 1 2.63209e+009 2.97574e+007 3.87634e+007 3.24976e+008 -1.53413 -1.11278
0 FRACTURE_2_S 19 1.77205 0.372842 1 2.65543e+009 6.0824e+007 6.35812e+007 3.31208e+008 -3.02975 -1.76678
0 FRACTURE_2_S 20 1.62716 0.227949 1 2.65015e+009 4.59234e+007 7.6764e+007 3.30052e+008 -2.29947 -2.13408
0 FRACTURE_2_S 21 1.45765 0.116608 1 2.60309e+009 1.18933e+007 1.33468e+008 3.19861e+008 -0.604508 -3.70995
0 FRACTURE_2_S 22 1.27503 0.0434532 1 2.56163e+009 -1.76715e+006 1.82964e+008 3.11776e+008 0.0900542 -5.04994
0 FRACTURE_2_S 23 1.09098 0.00834732 1 2.45616e+009 -4.65532e+007 2.34685e+008 2.8977e+008 2.36065 -6.4446
0 FRACTURE_2_S 24 0.909018 0.00834732 1 2.29924e+009 -1.20843e+008 2.60167e+008 2.5695e+008 6.16983 -7.2604
0 FRACTURE_2_S 25 0.724971 0.0434532 1 2.18747e+009 -2.29377e+008 2.53871e+008 2.3482e+008 11.5077 -7.1163
0 FRACTURE_2_S 26 0.542348 0.116608 1 2.06739e+009 -3.11756e+008 1.82747e+008 2.09078e+008 16 -5.39604
0 FRACTURE_2_S 27 0.372842 0.227949 1 2.01356e+009 -3.75127e+008 7.54552e+007 1.97359e+008 19.6905 -2.35752
0 FRACTURE_2_S 28 0.227949 0.372842 1 2.00049e+009 -3.82268e+008 -7.51301e+007 1.95148e+008 20.0806 2.35339
0 FRACTURE_2_S 29 0.116608 0.542348 1 2.07097e+009 -3.11485e+008 -1.83213e+008 2.09786e+008 15.965 5.40166
0 FRACTURE_2_S 30 0.0434532 0.724971 1 2.16766e+009 -2.26373e+008 -2.43924e+008 2.30093e+008 11.4985 6.93029
